adapter,engine,category,endpoint,rps,p50,p90,p975,p99,cpu_pct,rss_mb,connections,duration,repeats
typeorm,mysql,orm,aggregation,4181,11,13,14,15,100,229,50,4,10
typeorm,mysql,orm,write,836,57,63.5,76.5,102,50,231,50,4,10
objection,mysql,orm,point_read,3174,15,15.5,17.5,18,100,215,50,4,10
objection,mysql,orm,range_scan,2205,22,23,24.5,25.5,100,219,50,4,10
objection,mysql,orm,deep_fetch,829,58.5,61,63,78.5,100,220,50,4,10
objection,mysql,orm,aggregation,3173,15,17,17.5,19,100,222,50,4,10
objection,mysql,orm,write,883,54,59,67.5,110.5,35,224,50,4,10
mikroorm,mysql,orm,point_read,1801,27,28,29,29.5,100,262,50,4,10
mikroorm,mysql,orm,range_scan,627,77,79,87.5,323,100,280,50,4,10
mikroorm,mysql,orm,deep_fetch,516,93,99,107,475.5,100,287,50,4,10
mikroorm,mysql,orm,aggregation,3811,12,14,14.5,16,100,285,50,4,10
mikroorm,mysql,orm,write,747,64,71.5,85,120,70,366,50,4,10
